-116,-171
-176,97
32,-177
118,46
113,-119
63,-108
138,-129
116,114
1,102
-78,-81
-49,-68
-15,-169
132,155
-68,7
-149,-33
140,4
149,-159
93,79
174,156
21,112
-77,0
95,11
148,-63
-65,44
-64,-71
19,6
-155,-71
-21,-118
-3,103
-179,81
-61,-79
-132,-149
170,84
-176,163
-116,-171
-176,97
32,-177
118,46
113,-119
63,-108
138,-129
116,114
1,102
-78,-81
-49,-68
-15,-169
132,155
-68,7
-149,-33
140,4
149,-159
93,79
174,156
21,112
-77,0
95,11
148,-63
-65,44
-64,-71
19,6
-155,-71
-21,-118
-3,103
-179,81
-61,-79
-132,-149
170,84
-176,163
-116,-171
-176,97
32,-177
118,46
113,-119
63,-108
138,-129
116,114
1,102
-78,-81
-49,-68
-15,-169
132,155
-68,7
-149,-33
140,4
149,-159
93,79
174,156
21,112
-77,0
95,11
148,-63
-65,44
-64,-71
19,6
-155,-71
-21,-118
-3,103
-179,81
-61,-79
-132,-149
170,84
-176,163
-116,-171
-176,97
32,-177
118,46
113,-119
63,-108
138,-129
116,114
1,102
-78,-81
-49,-68
-15,-169
132,155
-68,7
-149,-33
140,4
149,-159
93,79
174,156
21,112
-77,0
95,11
148,-63
-65,44
-64,-71
19,6
-155,-71
-21,-118
-3,103
-179,81
-61,-79
-132,-149
170,84
-176,163
-116,-171
-176,97
32,-177
118,46
113,-119
63,-108
138,-129
116,114
1,102
-78,-81
-49,-68
-15,-169
132,155
-68,7
-149,-33
140,4
149,-159
93,79
174,156
21,112
-77,0
95,11
148,-63
-65,44
-64,-71
19,6
-155,-71
-21,-118
-3,103
-179,81
-61,-79
-132,-149
170,84
-176,163
-116,-171
-176,97
32,-177
118,46
113,-119
63,-108
138,-129
116,114
1,102
-78,-81
-49,-68
-15,-169
132,155
-68,7
-149,-33
140,4
149,-159
93,79
174,156
21,112
-77,0
95,11
148,-63
-65,44
-64,-71
19,6
-155,-71
-21,-118
-3,103
-179,81
-61,-79
-132,-149
170,84
-176,163
-116,-171
-176,97
32,-177
118,46
113,-119
63,-108
138,-129
116,114
1,102
-78,-81
-49,-68
-15,-169
132,155
-68,7
-149,-33
140,4
149,-159
93,79
174,156
21,112
-77,0
95,11
148,-63
-65,44
-64,-71
19,6
-155,-71
-21,-118
-3,103
-179,81
-61,-79
-132,-149
170,84
-176,163
-116,-171
-176,97
32,-177
118,46
113,-119
63,-108
138,-129
116,114
1,102
-78,-81
-49,-68
-15,-169
132,155
-68,7
-149,-33
140,4
149,-159
93,79
174,156
21,112
-77,0
95,11
148,-63
-65,44
-64,-71
19,6
-155,-71
-21,-118
-3,103
-179,81
-61,-79
-132,-149
170,84
-176,163
-116,-171
-176,97
32,-177
118,46
113,-119
63,-108
138,-129
116,114
1,102
-78,-81
-49,-68
-15,-169
132,155
-68,7
-149,-33
140,4
149,-159
93,79
174,156
21,112
-77,0
95,11
148,-63
-65,44
-64,-71
19,6
-155,-71
-21,-118
-3,103
-179,81
-61,-79
-132,-149
170,84
-176,163
-116,-171
-176,97
32,-177
118,46
113,-119
63,-108
138,-129
116,114
1,102
-78,-81
-49,-68
-15,-169
132,155
-68,7
-149,-33
140,4
149,-159
93,79
174,156
21,112
-77,0
95,11
148,-63
-65,44
-64,-71
19,6
-155,-71
-21,-118
-3,103
-179,81
-61,-79
-132,-149
170,84
-176,163
-116,-171
-176,97
32,-177
118,46
113,-119
63,-108
138,-129
116,114
1,102
-78,-81
-49,-68
-15,-169
132,155
-68,7
-149,-33
140,4
149,-159
93,79
174,156
21,112
-77,0
95,11
148,-63
-65,44
-64,-71
19,6
-155,-71
-21,-118
-3,103
-179,81
-61,-79
-132,-149
170,84
-176,163
-116,-171
-176,97
32,-177
118,46
113,-119
63,-108
138,-129
116,114
1,102
-78,-81
-49,-68
-15,-169
132,155
-68,7
-149,-33
140,4
149,-159
93,79
174,156
21,112
-77,0
95,11
148,-63
-65,44
-64,-71
19,6
-155,-71
-21,-118
-3,103
-179,81
-61,-79
-132,-149
170,84
-176,163
-116,-171
-176,97
32,-177
118,46
113,-119
63,-108
138,-129
116,114
1,102
-78,-81
-49,-68
-15,-169
132,155
-68,7
-149,-33
140,4
149,-159
93,79
174,156
21,112
-77,0
95,11
148,-63
-65,44
-64,-71
19,6
-155,-71
-21,-118
-3,103
-179,81
-61,-79
-132,-149
170,84
-176,163
-116,-171
-176,97
32,-177
118,46
113,-119
63,-108
138,-129
116,114
1,102
-78,-81
-49,-68
-15,-169
132,155
-68,7
-149,-33
140,4
149,-159
93,79
174,156
21,112
-77,0
95,11
148,-63
-65,44
-64,-71
19,6
-155,-71
-21,-118
-3,103
-179,81
-61,-79
-132,-149
170,84
-176,163
-116,-171
-176,97
32,-177
118,46
113,-119
63,-108
138,-129
116,114
1,102
-78,-81
-49,-68
-15,-169
132,155
-68,7
-149,-33
140,4
149,-159
93,79
174,156
21,112
-77,0
95,11
148,-63
-65,44
-64,-71
19,6
-155,-71
-21,-118
-3,103
-179,81
-61,-79
-132,-149
170,84
-176,163
-116,-171
-176,97
32,-177
118,46
113,-119
63,-108
138,-129
116,114
1,102
-78,-81
-49,-68
-15,-169
132,155
-68,7
-149,-33
140,4
149,-159
93,79
174,156
21,112
-77,0
95,11
148,-63
-65,44
-64,-71
19,6
-155,-71
-21,-118
-3,103
-179,81
-61,-79
-132,-149
170,84
-176,163
